Frecuencia (Hz)	Nivel (dB)
20068,945312	-67,647049
20112,011719	-77,803268
20155,078125	-84,780136
20198,144531	-89,895500
20241,210938	-93,908897
20284,277344	-97,221588
20327,343750	-100,035202
20370,410156	-102,515488
20413,476562	-104,697403
20456,542969	-106,638908
20499,609375	-108,454369
20542,675781	-110,088608
20585,742188	-111,497307
20628,808594	-112,907944
20671,875000	-114,062614
20714,941406	-115,207581
20758,007812	-116,265785
20801,074219	-116,997498
20844,140625	-117,979279
20887,207031	-118,615608
20930,273438	-119,251724
20973,339844	-119,831818
21016,406250	-120,192963
21059,472656	-120,673592
21102,539062	-121,022636
21145,605469	-121,404236
21188,671875	-121,587532
21231,738281	-121,871758
21274,804688	-122,010231
21317,871094	-122,164253
21360,937500	-122,350815
21404,003906	-122,537437
21447,070312	-122,422058
21490,136719	-122,649620
21533,203125	-122,619019
21576,269531	-122,773918
21619,335938	-122,901642
21662,402344	-122,968948
21705,468750	-122,888901
21748,535156	-122,998085
21791,601562	-122,857010
21834,667969	-122,965912
21877,734375	-123,034981
21920,800781	-123,041428
21963,867188	-123,039665
22006,933594	-122,961044
